album_id;album_date_released;album_image_file;album_producer;album_title;album_tracks;artist_url;tags
1;1/05/2009;https://freemusicarchive.org/file/images/albums/AWOL_-_AWOL_-_A_Way_Of_Life_-_2009113011911435.jpg;;AWOL - A Way Of Life;7;http://freemusicarchive.org/music/AWOL/;[]
100;1/09/2009;https://freemusicarchive.org/file/images/albums/Bird_Names_-_On_Opaque_Things_-_20100201151648616.jpg;;On Opaque Things;4;http://freemusicarchive.org/music/Bird_Names/;[]
1000;10/26/2008;https://freemusicarchive.org/file/images/albums/DMBQ_-_DMBQ_Live_at_2008_Record_Fair_on_WFMU_Record_Fairs_Show_on_10262008_-_2009113012327417.jpg;;DMBQ Live at 2008 Record Fair on WFMU Record Fair's Show on 10/26/2008;4;http://freemusicarchive.org/music/DMBQ/;[]
10000;;https://freemusicarchive.org/file/images/albums/Sundrips_-_Live_at_CKUT_on_Montreal_Sessions_-_20110905175626878.jpg;;Live at CKUT on Montreal Sessions;1;http://freemusicarchive.org/music/Sundrips/;[]
10001;1/01/2006;https://freemusicarchive.org/file/images/albums/Uton_-_Grounds_Dream_Cosmic_Love_-_2011090602130635.jpg;;Ground's Dream Cosmic Love;1;http://freemusicarchive.org/music/Uton/;[]
10002;;https://freemusicarchive.org/file/images/albums/Prince_Rama_-_Trust_Now_-_20110908154312339.jpg;;Trust Now;1;http://freemusicarchive.org/music/Prince_Rama_of_Ayodhya/;[]
10003;9/06/2011;https://freemusicarchive.org/file/images/albums/Fanas_-_Or_Up_We_Fall_-_2011090664703097.jpg;;Or Up We Fall [LCL08];21;http://freemusicarchive.org/music/Fanas/;[]
10007;10/05/2010;https://freemusicarchive.org/file/images/albums/Chantale_Laplante_and_Martine_Crispo_-_Live_at_CKUT_on_Montreal_Sessions_-_20110906202602575.jpg;;Live at CKUT on Montreal Sessions;1;http://freemusicarchive.org/music/Chantale_Laplante_and_Martine_Crispo/;[]
10008;9/07/2011;https://freemusicarchive.org/file/images/albums/barriere_garca_gris_-_chamber_music_-_2011090775833838.jpg;;chamber music;1;http://freemusicarchive.org/music/barriere_garca_gris/;[]
10009;;https://freemusicarchive.org/file/images/albums/Audio_K_-_My_Song_-_2011090790427335.JPG;;My Song;4;http://freemusicarchive.org/music/Audio_K/;[]
10010;7/01/2011;https://freemusicarchive.org/file/images/albums/Big_Blood_-_Big_Blood__The_Wicked_Hex_-_20110907134933212.jpg;;Big Blood & The Wicked Hex;18;http://freemusicarchive.org/music/Big_Blood/;[]
10016;8/31/2011;https://freemusicarchive.org/file/images/albums/Mary_Lorson_-_Live_at_WFMU_on_Irwins_show_Aug_31st_2011_-_20110907164100762.jpg;;Live at WFMU on Irwin's show, Aug 31st 2011;8;http://freemusicarchive.org/music/Mary_Lorson/;[]
10017;9/30/2011;https://freemusicarchive.org/file/images/albums/Family_Curse_-_Julia_Armant_7_-_20110907203439188.jpg;;"Julia Armant 7""";0;http://freemusicarchive.org/music/Family_Curse/;[]
10018;7/04/2011;https://freemusicarchive.org/file/images/albums/Angels_in_America_-_Narrow_Road_To_The_Interior_-_20110907180659296.jpg;;Narrow Road to the Interior;7;http://freemusicarchive.org/music/Angels_in_America/;[]
10019;9/05/2011;https://freemusicarchive.org/file/images/albums/The_Parish_of_Little_Clifton_-_Bad_Panda_98_-_2011090862147598.jpg;;Bad Panda #98;2;http://freemusicarchive.org/music/The_Parish_of_Little_Clifton/;[]
10020;1/01/2007;https://freemusicarchive.org/file/images/albums/Uton_-_Background_Music_For_Silence_-_2011090865215397.jpg;;Background Music For Silence;2;http://freemusicarchive.org/music/Uton/;[]
10024;7/12/2011;https://freemusicarchive.org/file/images/albums/The_Unsacred_Hearts_-_The_Honor_Bar_-_20110908134444340.jpg;TRAVIS HARRISON;The Honor Bar;12;http://freemusicarchive.org/music/The_Unsacred_Hearts/;[]
10025;;https://freemusicarchive.org/file/images/albums/Angels_in_America_-_Live_at_WFMU_on_Scott_Williams_show_Sept_5th_2011_-_20110908171149710.jpg;;Live at WFMU on Scott Williams' show Sept 5th 2011;7;http://freemusicarchive.org/music/Angels_in_America/;[]
10027;;https://freemusicarchive.org/file/images/albums/minusbaby_-_minusbaby_-_Singles_-_2011091194824409.png;Richard Alexander Caraballo;minusbaby - Singles;4;http://freemusicarchive.org/music/minusbaby/;[]
10028;1/01/2005;https://freemusicarchive.org/file/images/albums/Uton_-_Suoniin_Luihin_Ytimiin_-_2011091012840880.jpg;;Suoniin, Luihin, Ytimiin;1;http://freemusicarchive.org/music/Uton/;[]
1003;11/04/2008;https://freemusicarchive.org/file/images/albums/Killdozer_-_Live_at_WFMU_on_Brian_Turners_Show_on_1142008_-_2009113012858745.jpg;Brian Turner;Live on WFMU's Brian Turner Show, Election Day 2008;0;http://freemusicarchive.org/music/Killdozer/;[]
10031;;https://freemusicarchive.org/file/images/albums/Annette_KrebsTaku_Unami_-_motubachii_-_20110912124856284.jpeg;;motubachii;2;http://freemusicarchive.org/music/Annette_KrebsTaku_Unami/;[]
10032;;https://freemusicarchive.org/file/images/albums/Rock_Monsieur_-_Au_prau_-_2011091394100971.jpg;;Au préau;2;http://freemusicarchive.org/music/Rock_Monsieur/;[]
10033;;https://freemusicarchive.org/file/images/albums/Nadja_-_2010-02-19_Live__The_Garrison_Toronto_Canada_-_20120302131622784.jpg;;2010-02-19 Live @ The Garrison, Toronto, Canada;3;http://freemusicarchive.org/music/Nadja/;[]
10034;9/13/2011;https://freemusicarchive.org/file/images/albums/junior85_-_junior85_live_-_20110913134229903.jpg;Tony Higgins;junior85 live;8;http://freemusicarchive.org/music/junior85/;[]
10035;9/13/2011;https://freemusicarchive.org/file/images/albums/DEREK_PIOTR__SALAKAPAKKA_SOUND_SYSTEM_-_Behaviour_state_-_20110913163633457.jpg;;Behaviour state;8;http://freemusicarchive.org/music/DEREK_PIOTR__SALAKAPAKKA_SOUND_SYSTEM/;[]
10036;;https://freemusicarchive.org/file/images/albums/uiutna_-_mystical_v_-_20110913165436292.jpg;;mystical v;5;http://freemusicarchive.org/music/2010061284945421/;[]
10037;7/08/2009;https://freemusicarchive.org/file/images/albums/Zydepunks_-_Live_at_the_OCCII_-_20110913191401787.jpg;;Live at the OCCII;6;http://freemusicarchive.org/music/Zydepunks/;['concert', 'punk', 'live', 'violin', 'new orleans', 'klezmer']
10038;;https://freemusicarchive.org/file/images/albums/Bonaparte_-_Live_at_Pacific_Parc_17012009_Amsterdam_-_20110914134859046.jpg;;Live at Pacific Parc 17/01/2009;9;http://freemusicarchive.org/music/Bonaparte/;['amsterdam', 'concert', 'circus', 'live', 'rock', 'berlin', 'electro']
10039;9/15/2011;https://freemusicarchive.org/file/images/albums/Adriano_Orru_-_Hesperos_-_20110914113401349.jpg;;Hesperos;6;http://freemusicarchive.org/music/Adriano_Orru/;['instrumental', 'experimental', 'double bass', 'acoustic']
1004;11/06/2008;https://freemusicarchive.org/file/images/albums/Triclops_-_Live_at_WFMU_on_Dianes_Show_on_1162008_-_2009113014116318.jpg;Diane Kamikaze;Live at WFMU on Diane's Show on 11/6/2008;7;http://freemusicarchive.org/music/Triclops/;[]
10041;9/07/2011;https://freemusicarchive.org/file/images/albums/The_Cute_Lepers_-_Live_at_WFMU_on_Evan_Funk_Davies_Show_on_September_7_2011_-_20110914114508240.jpg;"Evan ""Funk"" Davies";"Live at WFMU on Evan ""Funk"" Davies Show on September 7, 2011";11;http://freemusicarchive.org/music/The_Cute_Lepers/;[]
10042;8/28/2011;https://freemusicarchive.org/file/images/albums/Hooves_-_Live_at_WFMU_on_Beastin_The_Airwaves_with_Keili_on_August_28_2011_-_20110914123841055.png;Keili ;Live at WFMU on Beastin' The Airwaves! with Keili on August 28, 2011;4;http://freemusicarchive.org/music/Hooves/;[]
10044;9/08/2011;https://freemusicarchive.org/img/generic/album-default-radio.png;Joe Belock;Live at WFMU on Three Chord Monte with Joe Belock on September 8, 2011;8;http://freemusicarchive.org/music/Sally_Crewe__the_Sudden_Moves/;['morning', 'morning prep']
10049;5/15/2015;https://freemusicarchive.org/file/images/albums/Chris_Zabriskie_-_The_Dark_Glow_of_the_Mountains_-_20110914190904372.jpg;;The Dark Glow of the Mountains;5;http://freemusicarchive.org/music/Chris_Zabriskie/;[]
1005;11/16/2008;https://freemusicarchive.org/file/images/albums/Larkin_Grimm_-_Live_at_wfmu_on_Dan_Bodahs_Show_on_11162008_-_2009113012938458.jpg;;Live at wfmu on Dan Bodah's Show on 11/16/2008;11;http://freemusicarchive.org/music/Larkin_Grimm/;[]
10050;3/10/2009;https://freemusicarchive.org/file/images/albums/Chris_Zabriskie_-_I_Am_a_Man_Who_Will_Fight_for_Your_Honor_-_20110914193215981.jpg;;I Am a Man Who Will Fight for Your Honor;7;http://freemusicarchive.org/music/Chris_Zabriskie/;[]
10051;10/11/2011;https://freemusicarchive.org/file/images/albums/Sex_Church_-_Growing_Over_-_20110914205516346.jpg;;Growing Over;1;http://freemusicarchive.org/music/Sex_Church/;[]
10052;9/22/2009;https://freemusicarchive.org/file/images/albums/Chris_Zabriskie_-_Preludes_-_20110914195059092.jpg;;Preludes;23;http://freemusicarchive.org/music/Chris_Zabriskie/;['piano']
10053;8/10/2010;https://freemusicarchive.org/file/images/albums/Chris_Zabriskie_-_Vendaface_-_20110914200432258.jpg;;Vendaface;5;http://freemusicarchive.org/music/Chris_Zabriskie/;[]
10057;1/13/2011;https://freemusicarchive.org/file/images/albums/Chris_Zabriskie_-_Stunt_Island_-_20110914205821508.jpg;;Stunt Island;4;http://freemusicarchive.org/music/Chris_Zabriskie/;[]
10058;7/18/2011;https://freemusicarchive.org/file/images/albums/Chris_Zabriskie_-_Divider_-_20110914211135700.jpg;;Divider;6;http://freemusicarchive.org/music/Chris_Zabriskie/;[]
1006;11/10/2008;https://freemusicarchive.org/img/generic/album-default-live.png;Irene Trudel;Live at WFMU on Irene Trudel's Show on 11/10/2008;4;http://freemusicarchive.org/music/Micah_Blue_Smaldone/;[]
10061;;https://freemusicarchive.org/file/images/albums/Sam_Gas_Can_-_Life_On_Earth_is_Pure_and_Golden_Life_on_Earth_is_Hell_on_Earth_-_2011091575400396.jpg;;Life On Earth is Pure and Golden, Life on Earth is Hell on Earth;10;http://freemusicarchive.org/music/Sam_Gas_Can/;[]
10062;5/24/2011;https://freemusicarchive.org/file/images/albums/The_Easton_Ellises_-_EP_One_-_20120423143533718.jpg;;EP One;5;http://freemusicarchive.org/music/The_Easton_Ellises/;[]
10064;9/12/2011;https://freemusicarchive.org/file/images/albums/Nineteen_Eight_Eight_-_Bad_Panda_99_-_2011091652800689.jpg;;Beach Flats;3;http://freemusicarchive.org/music/Nineteen_Eight_Eight/;[]
10065;9/12/2011;https://freemusicarchive.org/file/images/albums/Black_Forest_Orchestra_-_The_Elements_Inside_Two_Circles_-_20110916141534436.jpg;Kevin Busby;The Elements Inside Two Circles;4;http://freemusicarchive.org/music/Black_Forest_Orchestra/;[]
10066;9/16/2011;https://freemusicarchive.org/file/images/albums/Louis_Minus_Seize_-_Birds_and_Bats_-_2011091683331823.jpg;;Birds and Bats;4;http://freemusicarchive.org/music/Louis_Minus_Seize/;[]
10067;9/16/2011;https://freemusicarchive.org/file/images/albums/Asian_Women_on_the_Telephone_-_Freedom_as_mama_told_me_-_20110916170248687.jpg;;Freedom as mama told me;15;http://freemusicarchive.org/music/Asian_Women_on_the_Telephone/;[]
10068;;https://freemusicarchive.org/file/images/albums/Ultra_Kabron_-_la_Magie_d_internet_-_20110917102613041.jpg;;la Magie d internet;1;http://freemusicarchive.org/music/Ultra_Kabron/;[]
10069;9/17/2011;https://freemusicarchive.org/file/images/albums/Morgan_Sadler_-_Go_On_-_20110917184405613.jpg;;Go On;2;http://freemusicarchive.org/music/Morgan_Sadler/;[]
